Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Issue_Size_Cr,Listing_Gain_%
2010-12-23,A2Z Infra Eng,675.0,0.7,4.25,0.33,400.0,390.0,328.9,-17.78,9.67,-97.58,675.0,-2.5
2010-12-20,Claris Life,300.0,1.31,2.03,1.6,228.0,224.4,205.85,-9.71,396.55,73.93,300.0,-1.5789473684210502
2010-12-15,MOIL,1260.0,0.0,0.0,0.0,375.0,551.0,233.25,-37.8,176.2,-53.01,1260.0,46.93333333333333
2010-06-12,RPP Infra Proj,48.75,0.16,7.27,5.6,75.0,75.0,52.0,-30.67,51.7,-31.07,48.75,0.0
2010-11-16,Gravita India,45.0,6.04,182.52,37.34,125.0,218.75,42.08,-66.34,371.4,197.12,45.0,75.0
2010-04-11,Coal India,15475.0,24.7,25.4,2.31,245.0,300.0,342.35,39.73,167.25,-31.73,15475.0,22.448979591836736
2010-10-27,Prestige Estate,1200.0,4.32,0.24,0.08,183.0,190.0,192.55,5.22,446.0,143.72,1200.0,3.825136612021858
2010-10-27,BS Limited,197.36,0.52,3.16,1.04,248.0,251.0,18.93,-92.37,0.33,-99.87,197.36,1.2096774193548387
2010-10-27,Gyscoal Alloys,54.67,1.54,33.44,8.0,71.0,76.6,8.16,-88.51,4.51,-93.65,54.67,7.887323943661964
2010-10-20,Oberoi Realty,1028.61,22.15,3.61,0.94,260.0,280.0,282.95,8.83,892.6,243.31,1028.61,7.6923076923076925
2010-10-18,Commercial Eng,172.41,3.68,0.34,0.38,127.0,122.8,112.25,-11.61,42.6,-66.46,172.41,-3.3070866141732305
2010-10-14,Sea TV Network,50.2,1.66,40.94,7.45,100.0,120.0,106.0,6.0,5.25,-94.75,50.2,20.0
2010-10-14,Ashoka Buildcon,225.0,25.52,13.91,3.46,324.0,333.55,73.33,-77.37,96.7,-70.15,225.0,2.9475308641975344
2010-10-14,Bedmutha Ind,91.8,0.67,29.19,8.51,102.0,114.4,180.8,77.25,75.95,-25.54,91.8,12.156862745098044
2010-10-13,Va Tech Wabag,472.6,36.13,100.98,8.55,1310.0,1655.0,341.88,-73.9,318.5,-75.69,472.6,26.33587786259542
2010-12-10,Cantabil Retail,105.0,1.71,3.83,2.63,135.0,133.8,104.75,-22.41,909.35,573.59,105.0,-0.8888888888888804
2010-12-10,Tecpro Systems,268.03,27.99,62.48,9.07,355.0,399.4,407.85,14.89,4.53,-98.72,268.03,12.507042253521119
2010-08-10,Electrosteel St,0.0,5.86,28.58,6.19,11.0,11.15,11.25,2.27,31.05,182.27,0.0,1.3636363636363669
2010-08-10,Orient Green,900.0,2.09,0.64,0.18,47.0,45.7,44.9,-4.47,13.35,-71.6,900.0,-2.7659574468085046
2010-08-10,Ramky Infra,530.0,4.52,1.45,0.99,450.0,450.0,387.35,-13.92,220.15,-51.08,530.0,0.0
2010-06-10,Career Point,115.0,47.45,101.93,31.74,310.0,461.0,632.35,103.98,117.05,-62.24,115.0,48.70967741935484
2010-06-10,Eros Intl,350.0,25.79,73.4,11.95,175.0,213.55,190.05,8.6,27.4,-84.34,350.0,22.028571428571436
2010-05-10,Sasta Sundar,147.5,5.91,35.88,11.04,118.0,135.1,110.9,-6.02,407.0,244.92,147.5,14.49152542372881
2010-01-10,Tirupati Inks,51.5,1.78,23.18,12.59,43.0,53.95,36.65,-14.77,1.59,-96.3,51.5,25.465116279069772
2010-09-29,Indosolar,357.0,1.44,1.3,1.81,29.0,29.75,23.7,-18.28,4.21,-85.48,357.0,2.586206896551724
2010-09-09,Gujarat Pipavav,500.0,13.2,85.7,9.15,46.0,56.25,54.05,17.5,92.5,101.09,500.0,22.282608695652172
2010-08-25,Prakash Steelag,68.75,1.27,10.91,6.62,110.0,118.55,18.8,-82.91,6.31,-94.26,68.75,7.77272727272727
2010-08-18,Bajaj Consumer ,297.0,20.19,53.49,6.62,660.0,730.0,151.65,-77.02,172.75,-73.83,297.0,10.606060606060606
2010-08-16,Bharat Fin,1653.97,20.38,18.26,2.81,985.0,1036.0,1088.58,10.52,898.2,-8.81,1653.97,5.177664974619289
2010-07-28,Shri Aster,53.1,0.01,12.46,7.41,118.0,127.7,199.1,68.73,1.28,-98.92,53.1,8.22033898305085
2010-07-21,Hindustan Media,270.0,8.98,3.39,1.0,166.0,177.95,189.2,13.98,69.25,-58.28,270.0,7.198795180722885
2010-07-16,Technofab Engg,71.76,4.28,48.85,10.03,240.0,265.0,295.65,23.19,6.85,-97.15,71.76,10.416666666666668
2010-01-07,Parabolic Drugs,200.0,1.48,1.2,0.4,75.0,76.0,64.8,-13.6,5.7,-92.4,200.0,1.3333333333333335
2010-05-21,Jaypee Infra,1650.0,1.77,1.15,0.61,102.0,98.0,91.3,-10.49,3.4,-96.67,1650.0,-3.9215686274509802
2010-05-20,SJVN,1079.0,9.03,3.39,3.12,26.0,27.1,25.05,-3.65,30.3,16.54,1079.0,4.230769230769236
2010-05-19,GB Global,107.9,7.97,10.52,2.81,130.0,131.0,133.65,2.81,9.8,-92.46,107.9,0.7692307692307693
2010-05-18,Tarapur Trans,63.75,0.03,5.08,2.74,75.0,75.0,56.9,-24.13,4.99,-93.35,63.75,0.0
2010-05-13,NEL HOLDINGS SO,405.0,2.54,0.22,0.16,54.0,50.0,50.95,-5.65,4.09,-92.43,405.0,-7.4074074074074066
2010-10-05,Talwalkars Fitn,77.44,35.43,51.48,8.43,128.0,138.0,162.6,27.03,1.45,-98.87,77.44,7.8125
2010-04-16,Goenka Diamond,145.0,0.78,2.99,0.66,135.0,130.0,12.79,-90.53,3.17,-97.65,145.0,-3.7037037037037033
2010-12-04,Intrasoft Tech,53.65,21.97,21.6,13.51,145.0,140.0,159.35,9.9,214.15,47.69,53.65,-3.4482758620689653
2010-09-04,Shree Ganesh,385.29,1.38,6.13,1.39,260.0,258.85,163.25,-37.21,0.82,-99.68,385.29,-0.4423076923076835
2010-06-04,Persistent,168.01,144.43,107.73,21.69,310.0,400.0,204.0,-34.19,3858.3,1144.61,168.01,29.03225806451613
2010-05-04,Pradip Overseas,116.6,8.57,45.35,10.53,110.0,120.0,89.29,-18.83,1.14,-98.96,116.6,9.090909090909092
2010-03-30,ILandFS Trans,700.0,52.61,39.39,4.56,258.0,287.0,253.68,-1.67,5.17,-98.0,700.0,11.24031007751938
2010-03-29,DQ Entertain,128.38,93.86,272.88,19.45,80.0,135.0,108.55,35.69,1.03,-98.71,128.38,68.75
2010-03-18,United Bank,330.0,47.08,39.15,9.8,66.0,77.0,68.8,4.24,4.48,-93.21,330.0,16.666666666666664
2010-11-03,Man Infra,142.0,96.06,104.57,10.26,252.0,335.0,46.43,-81.58,112.05,-55.54,142.0,32.93650793650794
